Supervisor,País,Receita EUD,Receita Total
Phillipp,Zimbabwe,$795.47,$6884.76
Farica,China,$574.05,$4816.60
Aubrey,China,$336.73,$1021.70
Amelie,China,$885.03,$3357.11
Mark,Russia,$408.87,$8933.07
Alasteir,Austria,$940.56,$8766.28
Archibold,Philippines,$483.97,$2662.49
Carey,Greece,$292.01,$7918.70
Ahmad,Canada,$924.04,$5707.48
Obadiah,France,$697.11,$5963.25
Gauthier,Peru,$50.49,$1590.52
Emile,Indonesia,$214.27,$9685.26
Terri,Philippines,$818.92,$7850.64
Nelie,China,$885.34,$8641.06
Crista,China,$283.40,$5390.77
Nelie,Czech Republic,$493.28,$4424.54
Marten,Philippines,$479.16,$2040.29
Aubree,France,$732.17,$9797.59
Bertie,Philippines,$730.89,$8825.22
Alric,Philippines,$311.55,$4201.28
Michael,Brazil,$376.19,$4808.12
Norine,Bulgaria,$968.77,$6082.51
Rianon,Greece,$725.97,$5810.31
Pierre,Finland,$909.40,$1795.53
Mathe,Philippines,$368.58,$7730.69
Benedikta,United States,$696.14,$3356.95
Bart,Syria,$610.20,$6810.56
Eilis,Latvia,$336.42,$1434.30
Yasmin,Philippines,$914.03,$2311.57
Toddy,Russia,$657.02,$3566.71
Katusha,France,$445.58,$8413.98
Deidre,Portugal,$494.86,$4287.62
Randy,Mali,$596.14,$7826.93
Denni,France,$202.08,$1491.22
Miner,China,$690.68,$5733.06
Fleurette,Serbia,$306.27,$8641.14
Gusty,China,$94.05,$9501.37
Millisent,China,$76.73,$9062.37
Darby,Russia,$603.81,$8300.58
Fanya,Indonesia,$83.62,$9625.06
Viva,China,$788.24,$9413.02
Gracie,Brazil,$623.91,$2262.44
Arri,Poland,$275.85,$4157.60
Pandora,China,$87.77,$8163.63
Rafferty,China,$439.91,$7316.17
Jeffie,Nigeria,$687.45,$2664.65
Gregoire,Russia,$730.47,$3831.88
Temple,Poland,$365.49,$7335.96
Maximilian,Poland,$754.22,$2751.77
Felicio,Sweden,$811.90,$5143.39
Hinze,Malaysia,$386.88,$6681.54
Ulrica,Poland,$925.82,$4469.32
Eudora,Chile,$188.00,$6424.77
Shauna,Austria,$712.33,$7816.26
Britt,Sweden,$414.07,$8064.89
Thomas,Philippines,$153.31,$2943.35
Pyotr,Indonesia,$383.14,$5683.46
Keslie,China,$9.79,$8152.86
Katinka,Indonesia,$519.59,$7904.65
Cesar,Philippines,$568.60,$3765.56
Neala,Peru,$739.44,$9740.60
Riley,Portugal,$485.48,$6852.48
Euell,China,$747.28,$4000.85
Aeriela,Lebanon,$896.05,$9393.30
Rosabelle,Brazil,$306.72,$4228.37
Perry,China,$506.19,$8199.54
Englebert,South Korea,$281.83,$1239.07
Kelcey,China,$425.91,$2291.91
Yankee,Lithuania,$935.34,$1310.78
Crystal,France,$439.78,$4438.56
Gabey,China,$381.06,$4807.44
Wileen,Philippines,$75.93,$2466.35
Evangeline,Russia,$19.39,$5643.30
Arleen,China,$725.95,$9807.04
Casandra,Indonesia,$121.75,$7067.03
Silvanus,Philippines,$64.55,$2124.99
Gunter,Japan,$744.35,$3324.48
Constancy,Philippines,$25.12,$2659.83
Klemens,Guatemala,$807.42,$8855.37
Blanch,Cyprus,$182.40,$3016.04
Othella,Brazil,$468.79,$4201.60
Kora,Croatia,$116.58,$5565.58
Prinz,Indonesia,$787.01,$2722.09
Cyndie,Brazil,$270.45,$9560.02
Merralee,Finland,$617.31,$9640.50
Sheila,Botswana,$400.25,$9525.09
Jacquette,Argentina,$437.40,$6366.19
Dorelia,Senegal,$875.18,$4346.62
Haywood,Japan,$15.48,$6664.42
Padgett,Sweden,$913.16,$7297.73
Marilin,Russia,$455.08,$8930.65
Arther,Philippines,$947.52,$5840.33
Merle,Kazakhstan,$126.76,$2933.02
Mikaela,Indonesia,$210.36,$2789.19
Ken,Poland,$902.63,$2701.32
Gianni,Thailand,$575.06,$8045.37
Domeniga,Bosnia and Herzegovina,$906.65,$5136.94
Bendick,China,$325.22,$9650.21
Rockie,Norway,$208.81,$9428.61
Griffin,Canada,$879.56,$2342.74
Russell,Russia,$536.50,$3837.03
Dorothee,Japan,$330.23,$6231.69
Celestyna,China,$924.45,$3673.81
Candie,Indonesia,$241.30,$8962.81
Paxton,France,$962.33,$7904.59
Georg,France,$738.24,$7361.40
Antonio,Czech Republic,$68.70,$7451.44
Aube,Japan,$630.85,$7116.27
Ertha,China,$656.83,$4688.64
Vasili,Philippines,$463.61,$3780.04
Jenda,Poland,$287.23,$4063.30
Aubry,Ukraine,$422.08,$7774.96
Chrysa,Kuwait,$31.52,$4393.22
Aldric,France,$435.45,$2822.00
Heddie,Russia,$927.66,$1956.57
Bette,Costa Rica,$847.65,$8081.48
Libby,Russia,$984.28,$2947.43
Lodovico,Central African Republic,$260.19,$4021.32
Moise,Sweden,$961.50,$2861.52
Teodor,Latvia,$249.24,$3276.98
Jarred,Brazil,$20.14,$8983.16
Banky,South Korea,$3.95,$6864.54
Tobias,Indonesia,$638.42,$5427.38
Cherie,Argentina,$91.58,$2135.05
Zsazsa,Indonesia,$556.67,$2351.45
Sileas,Indonesia,$850.48,$6211.52
Aubree,Yemen,$39.37,$1564.45
Hieronymus,Mali,$506.63,$1478.82
Roanne,Indonesia,$79.74,$8432.49
Rodney,Lesotho,$922.48,$6191.81
Roanna,Indonesia,$278.62,$4120.11
Weidar,Brazil,$892.15,$1053.28
Daisey,Indonesia,$367.51,$4209.06
Igor,Bulgaria,$168.68,$8303.27
Adler,Indonesia,$700.76,$7034.97
Vanny,Saint Kitts and Nevis,$380.38,$6876.46
Aeriell,Russia,$737.49,$3785.20
Suzanna,Sweden,$491.46,$6613.02
Liuka,Iran,$391.25,$5843.61
Taryn,Papua New Guinea,$100.05,$1628.40
Rowe,Russia,$330.08,$5667.83
Cordie,Peru,$598.46,$3322.37
Pall,Brazil,$4.51,$5109.24
Franky,Afghanistan,$594.10,$1571.35
Ira,Indonesia,$749.47,$7393.33
Kandace,Russia,$958.38,$2979.09
Belle,Malaysia,$148.64,$6644.80
Julia,Philippines,$175.12,$4317.45
Tome,Ireland,$537.71,$8152.27
Micheal,China,$137.34,$6109.79
Roger,Russia,$30.36,$2338.23
Wakefield,Philippines,$86.51,$6693.26
Ines,Kazakhstan,$172.80,$2226.52
Brooks,United States,$806.78,$7869.65
Haze,Indonesia,$960.77,$8633.54
Garner,Mongolia,$899.07,$9057.48
Bria,Gambia,$223.71,$9379.90
Thorstein,Indonesia,$563.24,$7219.38
Jen,Mongolia,$692.90,$6910.26
Merlina,Poland,$206.16,$2187.64
Lauritz,Nigeria,$464.18,$3370.50
Bertie,China,$792.25,$9858.01
Carolus,Nigeria,$133.40,$9304.73
Josy,Argentina,$685.40,$8720.58
Siouxie,China,$111.65,$2861.25
David,Nicaragua,$687.16,$2554.43
Rollin,Brazil,$415.62,$5372.94
Cordey,Indonesia,$694.21,$5941.38
Leone,Indonesia,$525.02,$3010.43
Bibbye,Russia,$680.62,$5852.62
Dominique,Philippines,$807.16,$4702.83
Obidiah,Sweden,$229.08,$7549.28
Brooke,France,$626.73,$9578.31
Morgana,Myanmar,$720.40,$4801.13
Rosalinda,China,$232.65,$9651.21
Nicolas,Netherlands,$307.71,$3261.11
Zia,South Africa,$462.31,$2149.07
Stanfield,Philippines,$973.96,$2236.74
Marj,South Korea,$939.84,$7681.65
Nathan,Argentina,$270.49,$1035.90
Ronna,United States,$328.40,$1896.45
Gilburt,Philippines,$653.86,$6492.83
Arni,Ecuador,$898.19,$2463.69
Yolanthe,Russia,$330.07,$4044.71
Gerrard,China,$208.27,$4384.80
Lancelot,Russia,$99.98,$6719.68
Winne,China,$12.62,$5754.19
Darcey,Indonesia,$421.99,$2107.24
Curry,Japan,$952.48,$2164.64
Harriott,Lebanon,$118.36,$8746.93
Timmie,China,$320.30,$1291.17
Ondrea,Brazil,$942.46,$9375.07
Andra,Guatemala,$920.01,$1875.80
Drucill,Brazil,$393.66,$4838.41
Jamal,Uganda,$676.78,$3859.27
Marina,Italy,$544.94,$6647.32
Kameko,Indonesia,$591.99,$9566.47
Zorana,Peru,$699.39,$2540.79
Willetta,China,$914.30,$1161.79
Stephannie,Portugal,$317.72,$3086.21
Opalina,China,$862.30,$9941.04
Hayward,Ivory Coast,$3.78,$5653.82
Ronni,South Africa,$310.27,$5063.54
Johnny,Canada,$389.75,$8713.61
Ardelle,Japan,$297.23,$2686.86
Teador,Indonesia,$33.55,$1718.08
Ramon,Mexico,$641.39,$3606.18
Adi,Poland,$47.18,$1470.16
George,Poland,$858.17,$5374.79
Hetty,Portugal,$851.74,$2213.60
Alikee,France,$993.81,$4649.80
Jessie,Indonesia,$990.93,$6878.04
Conrado,China,$323.31,$8013.50
Morie,Brazil,$734.65,$2870.32
Felipa,French Polynesia,$62.67,$6083.66
Joelly,Guatemala,$385.64,$3480.23
Jimmy,Russia,$797.03,$8876.83
Shem,Indonesia,$623.24,$2936.86
Christophorus,Philippines,$619.11,$6510.62
Elsinore,Qatar,$430.22,$4783.78
Aline,Argentina,$728.87,$7406.82
Russell,China,$423.80,$8381.09
Saul,Canada,$702.73,$6150.97
Kat,Moldova,$645.55,$4361.34
Kerrin,Liberia,$943.27,$8338.33
Rollin,Poland,$980.45,$1751.23
Lucias,Philippines,$307.12,$5793.96
Gerda,Estonia,$913.15,$4183.56
Candida,Poland,$739.24,$7306.24
Vikky,United States,$791.67,$6934.99
Carlin,Portugal,$562.07,$9344.66
Kippar,China,$118.48,$9930.73
Mal,Poland,$191.03,$2802.59
Padgett,Indonesia,$78.94,$8913.30
Dalton,China,$81.98,$2911.42
Fredelia,Brazil,$370.27,$2198.26
Conrado,China,$324.69,$5175.29
Phaidra,Japan,$108.11,$5032.32
Manya,Slovenia,$406.04,$1631.61
Garek,Cuba,$140.91,$5366.35
Dallas,China,$298.94,$7119.11
Fons,Thailand,$310.06,$4453.55
Waneta,Russia,$633.53,$4869.43
Bryanty,Slovenia,$621.96,$7380.98
Kristoforo,China,$20.51,$1368.52
Crin,Israel,$407.74,$4081.31
Lucila,Indonesia,$777.70,$9918.62
Quincy,Japan,$421.10,$9426.07
Charlena,Iran,$324.13,$8080.27
Helli,China,$500.95,$3076.72
Ernestine,Japan,$126.03,$6736.37
Karel,Philippines,$8.11,$3900.69
Dierdre,Bahamas,$94.33,$4436.84
Allegra,China,$56.40,$9067.47
Tedmund,Greece,$421.40,$4022.23
Mireielle,China,$833.20,$5547.52
Xerxes,China,$987.44,$6138.32
Cirillo,Peru,$531.07,$3351.25
Lily,Canada,$235.32,$4943.96
Gar,Dominican Republic,$388.33,$9506.21
Mireielle,Costa Rica,$819.44,$1635.76
Merv,Brazil,$343.70,$2849.92
Munmro,Kenya,$968.82,$1700.37
Glynnis,China,$724.10,$6611.37
Dominick,Ireland,$801.41,$5290.08
Tobi,Argentina,$16.82,$2439.08
Brook,China,$906.32,$2104.42
Perren,Sweden,$641.38,$3753.23
Kelcie,Costa Rica,$784.89,$2963.49
Jay,Poland,$967.38,$1099.86
Christiana,Greece,$998.22,$5415.08
Matthieu,Latvia,$209.52,$7774.68
Cecilia,China,$677.18,$5308.86
Alverta,Latvia,$739.63,$4888.80
Malvina,China,$248.23,$2531.72
Malorie,Philippines,$56.21,$4848.91
Demetris,Portugal,$628.60,$3913.83
Aristotle,Argentina,$324.12,$5773.96
Sheff,Philippines,$880.32,$3699.62
Liana,Czech Republic,$754.30,$1388.55
Mack,Pakistan,$850.91,$9005.23
Zara,Portugal,$401.74,$2908.54
Kip,China,$789.20,$1655.42
Evangelia,Poland,$904.56,$1268.85
Maynard,China,$736.52,$6511.24
Ritchie,Macedonia,$157.17,$4008.31
Ogdan,France,$151.67,$7094.04
Orton,China,$795.54,$1835.17
Chrotoem,Honduras,$620.75,$1660.70
Alastair,Colombia,$429.25,$5483.24
Dolorita,Poland,$518.25,$8031.21
Adelheid,Brazil,$869.49,$1974.79
Mattheus,France,$846.20,$8230.18
Brenna,Philippines,$192.48,$6291.02
Henderson,China,$303.21,$5689.53
Hurley,China,$144.60,$6862.64
Bettina,Cuba,$997.16,$7755.25
Aimil,China,$967.74,$3764.41
Etti,Indonesia,$769.77,$8785.95
Datha,Nigeria,$198.67,$2786.22
Kenneth,Brazil,$660.28,$9083.01
Eudora,Portugal,$612.25,$9902.76
Benny,South Africa,$968.16,$6384.00
Andy,Germany,$228.81,$6371.50
Meridel,Libya,$820.53,$7650.75
Kristos,China,$453.61,$8193.90
Valene,Japan,$978.06,$4181.89
Maurits,Philippines,$431.99,$5539.49
Sayers,Djibouti,$859.31,$9170.04
Terrill,Japan,$554.45,$8424.47
Laurella,Argentina,$837.77,$2540.56
Joy,Philippines,$173.64,$7193.59
Heda,Poland,$819.27,$3454.43
Baird,Tajikistan,$896.17,$4724.45
Shannen,Lithuania,$741.88,$7939.81
Chelsie,China,$140.62,$4387.96
Vaughn,France,$323.32,$1570.80
Veronika,Latvia,$592.15,$9311.89
Lucian,Indonesia,$116.36,$2526.79
Leopold,Colombia,$473.04,$9865.13
Corabel,Cuba,$156.71,$9909.47
Aindrea,China,$592.40,$5737.95
Mae,Saudi Arabia,$617.20,$7385.73
Violante,Brazil,$588.43,$8386.20
Lloyd,Kenya,$443.95,$8118.45
Sadella,Russia,$635.89,$1291.17
Kirbee,Mexico,$870.80,$3955.50
Fleur,China,$226.25,$5446.28
Rockey,Philippines,$378.98,$7769.14
Vitoria,Colombia,$382.68,$7439.50
Gard,China,$227.65,$1548.37
Rikki,Indonesia,$688.50,$5079.13
Kala,Canada,$615.04,$5770.92
Melantha,Argentina,$619.06,$8635.57
Rip,Indonesia,$345.64,$7360.80
Nester,United States,$741.01,$9917.27
Arturo,Croatia,$603.08,$1515.24
Tracie,Dominican Republic,$940.90,$2155.86
Maurie,Thailand,$450.84,$5459.58
Aloysius,China,$598.04,$3665.74
Vitia,Bhutan,$974.56,$5481.57
Lissi,Myanmar,$642.41,$5209.03
Eachelle,China,$651.29,$3526.95
Shelden,Indonesia,$781.34,$8714.17
Rubetta,Vietnam,$727.75,$3730.29
Forest,Brazil,$227.35,$4136.19
Hakeem,Japan,$696.58,$8264.61
Calla,Iran,$507.95,$4653.40
Meredith,Russia,$838.71,$4617.46
Janette,Indonesia,$155.87,$2160.56
Harley,Argentina,$908.10,$3132.85
Elora,China,$124.26,$6792.34
Stephannie,Indonesia,$662.67,$9941.89
Winna,Venezuela,$429.42,$8320.55
Neel,Poland,$336.82,$4821.15
Abagael,Costa Rica,$720.94,$2698.75
Minda,Colombia,$209.29,$3269.91
Dianna,Peru,$150.44,$8118.95
Marthe,Bulgaria,$28.93,$1852.67
Gannie,Germany,$181.65,$6929.72
Baryram,Portugal,$1.03,$9142.58
Audry,Ireland,$620.92,$8751.76
Retha,China,$128.98,$9820.37
Ailis,United States,$364.84,$3780.47
Robers,Finland,$402.14,$7657.41
Kendricks,China,$34.54,$1285.41
Courtenay,Costa Rica,$465.21,$9601.75
Sanders,China,$830.23,$1322.56
Kyrstin,Argentina,$629.62,$1387.74
Cordelia,Afghanistan,$131.35,$6402.25
Mendy,Argentina,$400.11,$7373.58
Olivie,Turkmenistan,$193.16,$8239.18
Desi,South Korea,$287.13,$1315.23
Cecil,Haiti,$797.50,$4207.07
Delainey,Costa Rica,$912.88,$4459.90
Elset,Indonesia,$919.07,$6315.89
Flory,Tunisia,$318.30,$9772.86
Skyler,Japan,$832.88,$2190.83
Michaella,China,$834.16,$2371.03
Camille,Saudi Arabia,$861.91,$5973.25
Darlleen,Indonesia,$129.89,$6867.61
Merrill,Philippines,$799.32,$7577.08
Alan,China,$789.02,$5323.61
Sidoney,Finland,$320.74,$3379.44
Mathe,Tunisia,$159.81,$2566.23
Kamilah,Japan,$28.45,$3274.53
Yvon,Mexico,$892.24,$1224.48
Pier,China,$194.03,$2285.12
Elsie,Malaysia,$342.02,$5403.80
Sylas,China,$64.61,$6591.15
Morten,Russia,$114.44,$1358.32
Felisha,Nicaragua,$540.10,$6533.51
Ange,Ukraine,$473.70,$3674.17
Winfield,France,$491.23,$7501.97
Eunice,China,$121.95,$2794.03
Carri,China,$949.94,$3220.32
Thibaut,Philippines,$746.05,$6200.76
Daniel,Colombia,$802.01,$7436.39
Crin,Argentina,$415.31,$5738.19
Giacinta,Indonesia,$985.19,$2727.04
Lester,Japan,$913.94,$7894.99
Arel,Belarus,$716.09,$7444.97
Wilhelmine,Indonesia,$242.27,$6775.59
Ursa,Egypt,$369.26,$4380.67
Hunt,Indonesia,$665.09,$8503.81
Annabelle,Ethiopia,$203.06,$3401.03
Drucie,Russia,$526.10,$3775.21
Flory,Indonesia,$534.58,$3824.48
Duane,China,$204.10,$7188.19
Gerri,China,$462.34,$7242.70
Ewan,Brazil,$752.22,$8960.93
Lorette,United States,$243.26,$8461.98
Wanids,Cuba,$127.79,$5225.08
Ellene,Venezuela,$536.40,$6882.91
Britni,Czech Republic,$468.39,$8606.65
Millisent,Russia,$276.16,$5081.35
Dara,Philippines,$491.85,$4875.60
Hoyt,Bosnia and Herzegovina,$858.75,$4291.77
Alfie,Lithuania,$131.82,$3683.96
Sean,Poland,$489.26,$5751.62
Larry,Indonesia,$470.75,$1610.01
Perry,Russia,$536.10,$5924.76
Charyl,Russia,$913.92,$2468.40
Cinderella,Uzbekistan,$249.41,$7126.21
Christie,Indonesia,$913.23,$9688.34
Reuven,Philippines,$306.82,$9209.81
Nickola,Poland,$588.94,$4362.02
Guillema,Ukraine,$353.41,$1997.37
Les,Peru,$915.29,$2054.68
Trula,Canada,$641.03,$2006.78
Nelson,United States,$632.52,$8228.32
Jeanette,Sweden,$279.98,$1714.25
Yorke,Sweden,$793.26,$7160.38
Vevay,Philippines,$161.61,$7376.20
